1450, 8.46954481093464E-26, 1.39776694504262E-26
1450.08, 8.51037811976692E-26, 1.40713359890887E-26
1450.16, 8.61066549878334E-26, 1.42638216827392E-26
1450.24, 8.60251985922821E-26, 1.42769838448644E-26
1450.32, 8.5627790712323E-26, 1.42376081245354E-26
1450.4, 8.61792817005613E-26, 1.43561372974686E-26
1450.48, 8.58207101900932E-26, 1.43231378032117E-26
1450.56, 8.73537247127365E-26, 1.46062502600043E-26
1450.64, 8.67700460113806E-26, 1.45358122673241E-26
1450.72, 8.76313153373486E-26, 1.4707534388588E-26
1450.8, 8.85011517496838E-26, 1.48812851881656E-26
1450.88, 8.86824313486269E-26, 1.4939670104348E-26
1450.96, 8.90076556675711E-26, 1.5022477932621E-26
1451.04, 8.92518492101141E-26, 1.50918382494751E-26
1451.12, 8.8839718333568E-26, 1.50502151723051E-26
1451.2, 8.96388342353601E-26, 1.52139952716015E-26
1451.28, 9.07791952847672E-26, 1.54363225254835E-26
1451.36, 9.13853431014705E-26, 1.55684154093756E-26
1451.44, 9.20377179861533E-26, 1.57088712113325E-26
1451.52, 9.31228457059558E-26, 1.59237571760623E-26
1451.6, 9.25223649365304E-26, 1.58506148579204E-26
1451.68, 9.33547217482736E-26, 1.60231051012063E-26
1451.76, 9.30522660363038E-26, 1.60010045446217E-26
1451.84, 9.40627578414221E-26, 1.62049544913959E-26
1451.92, 9.3952326688431E-26, 1.62161735487559E-26
1452, 9.47542006730151E-26, 1.63850945112755E-26
1452.08, 9.57611811627935E-26, 1.65901196401933E-26
1452.16, 9.553875867386E-26, 1.6582503049935E-26
1452.24, 9.61326235103357E-26, 1.67167040183674E-26
1452.32, 9.65077263597529E-26, 1.68132325613945E-26
1452.4, 9.55988024760445E-26, 1.66859826658145E-26
1452.48, 9.65036900668163E-26, 1.68753331461827E-26
1452.56, 9.71483608015594E-26, 1.70197400424237E-26
1452.64, 9.8000008387168E-26, 1.72009918595243E-26
1452.72, 9.82919267269122E-26, 1.72843900179837E-26
1452.8, 9.76134522813766E-26, 1.71970765585381E-26
1452.88, 9.91061433390564E-26, 1.74926333196703E-26
1452.96, 1.00021319330475E-25, 1.7687064506583E-26
1453.04, 1.00157775546767E-25, 1.77441960379188E-26
1453.12, 9.9925619924001E-26, 1.77360495778002E-26
1453.2, 1.00153956718691E-25, 1.78097351869866E-26
1453.28, 1.01732676413766E-25, 1.81241659131091E-26
1453.36, 1.0163725285018E-25, 1.81408902681976E-26
1453.44, 1.02104397154368E-25, 1.82582506264221E-26
1453.52, 1.01938225978088E-25, 1.8262479078499E-26
1453.6, 1.03235671281491E-25, 1.85293548568263E-26
1453.68, 1.03138682838185E-25, 1.85464531366345E-26
1453.76, 1.03160745873133E-25, 1.85849515678874E-26
1453.84, 1.04233532194947E-25, 1.88131709077827E-26
1453.92, 1.0346644249861E-25, 1.87095166868059E-26
1454, 1.04904151730649E-25, 1.90047926626426E-26
1454.08, 1.0541099787721E-25, 1.91321467372562E-26
1454.16, 1.06580622735908E-25, 1.93804684822207E-26
1454.24, 1.06358371601922E-25, 1.93760317830441E-26
1454.32, 1.06258870277474E-25, 1.93939113169712E-26
1454.4, 1.06159237360266E-25, 1.94118073812218E-26
1454.48, 1.07362219826625E-25, 1.96682871608156E-26
1454.56, 1.07015149775718E-25, 1.96411588307462E-26
1454.64, 1.07655971894808E-25, 1.97955546868758E-26
1454.72, 1.07406875953805E-25, 1.97864664368108E-26
1454.8, 1.0824955815706E-25, 1.99787728835091E-26
1454.88, 1.08547358988465E-25, 2.00710169545833E-26
1454.96, 1.09575506381141E-25, 2.02987803885328E-26
1455.04, 1.08920041971752E-25, 2.02148494917638E-26
1455.12, 1.1025599233031E-25, 2.05008127716746E-26
1455.2, 1.10508500636772E-25, 2.05859847756809E-26
1455.28, 1.10583483411399E-25, 2.06382188974122E-26
1455.36, 1.11605329638083E-25, 2.0867613370617E-26
1455.44, 1.11372683741566E-25, 2.0862836259171E-26
1455.51999999999, 1.12635043358642E-25, 2.11384878533231E-26
1455.59999999999, 1.12815420043405E-25, 2.12116515349939E-26
1455.67999999999, 1.12684058726868E-25, 2.1226336843071E-26
1455.75999999999, 1.13725431328879E-25, 2.14622682664306E-26
1455.83999999999, 1.14091369321878E-25, 2.15712934156161E-26
1455.91999999999, 1.14116140519789E-25, 2.16160707978027E-26
1455.99999999999, 1.16263248165579E-25, 2.20636480543706E-26
1456.07999999999, 1.16315587228861E-25, 2.2114538897775E-26
1456.15999999999, 1.1612680194976E-25, 2.21196604694158E-26
1456.23999999999, 1.17768219336357E-25, 2.24739299872894E-26
1456.31999999999, 1.17496204968417E-25, 2.24636120805014E-26
1456.39999999999, 1.17792775138227E-25, 2.25621331914864E-26
1456.47999999999, 1.19073347073817E-25, 2.28497117537432E-26
1456.55999999999, 1.19072249347631E-25, 2.28918711661702E-26
1456.63999999999, 1.18988677501774E-25, 2.29182715529439E-26
1456.71999999999, 1.19371818713705E-25, 2.3034692983743E-26
1456.79999999999, 1.19673521895123E-25, 2.31357187087958E-26
1456.87999999999, 1.20169268475163E-25, 2.32746716728464E-26
1456.95999999999, 1.20889854714804E-25, 2.34576299264445E-26
1457.03999999999, 1.20610851116412E-25, 2.34468603976999E-26
1457.11999999999, 1.21922257935053E-25, 2.37457157563238E-26
1457.19999999999, 1.21752726642587E-25, 2.37566846463774E-26
1457.27999999999, 1.22370148603826E-25, 2.39213893592026E-26
1457.35999999999, 1.22566664403469E-25, 2.40041851077855E-26
1457.43999999999, 1.23899151248218E-25, 2.43101442067722E-26
