952.8	2.22E-26
953	2.29E-26
953.2	2.38E-26
953.4	2.47E-26
953.6	2.55E-26
953.8	2.64E-26
954	2.73E-26
954.2	2.83E-26
954.4	2.93E-26
954.6	3.03E-26
954.8	3.14E-26
955	3.34E-26
955.2	3.46E-26
955.4	3.57E-26
955.6	3.70E-26
955.8	3.83E-26
956	3.96E-26
956.2	4.11E-26
956.4	4.26E-26
956.6	4.42E-26
956.8	4.58E-26
957	4.75E-26
957.2	4.91E-26
957.4	5.08E-26
957.6	5.25E-26
957.8	5.41E-26
958	5.58E-26
958.2	5.76E-26
958.4	5.94E-26
958.6	6.12E-26
958.8	6.30E-26
959	6.49E-26
959.2	6.70E-26
959.4	6.91E-26
959.6	7.13E-26
959.8	7.36E-26
960	7.58E-26
960.2	7.81E-26
960.4	8.03E-26
960.6	8.26E-26
960.8	8.49E-26
961	8.72E-26
961.2	8.94E-26
961.4	9.16E-26
961.6	9.38E-26
961.8	9.62E-26
962	9.85E-26
962.2	1.01E-25
962.4	1.03E-25
962.6	1.06E-25
962.8	1.08E-25
963	1.11E-25
963.2	1.13E-25
963.4	1.16E-25
963.6	1.18E-25
963.8	1.20E-25
964	1.23E-25
964.2	1.25E-25
964.4	1.28E-25
964.6	1.30E-25
964.8	1.32E-25
965	1.34E-25
965.2	1.36E-25
965.4	1.38E-25
965.6	1.41E-25
965.8	1.43E-25
966	1.45E-25
966.2	1.47E-25
966.4	1.49E-25
966.6	1.52E-25
966.8	1.54E-25
967	1.56E-25
967.2	1.58E-25
967.4	1.60E-25
967.6	1.62E-25
967.8	1.64E-25
968	1.66E-25
968.2	1.68E-25
968.4	1.70E-25
968.6	1.71E-25
968.8	1.73E-25
969	1.75E-25
969.2	1.77E-25
969.4	1.79E-25
969.6	1.80E-25
969.8	1.82E-25
970	1.84E-25
970.2	1.86E-25
970.4	1.88E-25
970.6	1.90E-25
970.8	1.92E-25
971	1.94E-25
971.2	1.96E-25
971.4	1.98E-25
971.6	2.00E-25
971.8	2.01E-25
972	2.03E-25
972.2	2.05E-25
972.4	2.07E-25
972.6	2.09E-25
972.8	2.11E-25
973	2.13E-25
973.2	2.15E-25
973.4	2.18E-25
973.6	2.20E-25
973.8	2.23E-25
974	2.25E-25
974.2	2.28E-25
974.4	2.30E-25
974.6	2.33E-25
974.8	2.35E-25
975	2.38E-25
975.2	2.40E-25
975.4	2.42E-25
975.6	2.45E-25
975.8	2.47E-25
976	2.49E-25
976.2	2.50E-25
976.4	2.52E-25
976.6	2.54E-25
976.8	2.55E-25
977	2.56E-25
977.2	2.57E-25
977.4	2.58E-25
977.6	2.58E-25
977.8	2.58E-25
978	2.58E-25
978.2	2.56E-25
978.4	2.55E-25
978.6	2.53E-25
978.8	2.51E-25
979	2.49E-25
979.2	2.46E-25
979.4	2.43E-25
979.6	2.40E-25
979.8	2.37E-25
980	2.34E-25
980.2	2.31E-25
980.4	2.27E-25
980.6	2.24E-25
980.8	2.20E-25
981	2.17E-25
981.2	2.14E-25
981.4	2.10E-25
981.6	2.07E-25
981.8	2.04E-25
982	2.00E-25
982.2	1.97E-25
982.4	1.94E-25
982.6	1.91E-25
982.8	1.88E-25
983	1.85E-25
983.2	1.83E-25
983.4	1.80E-25
983.6	1.77E-25
983.8	1.74E-25
984	1.71E-25
984.2	1.69E-25
984.4	1.66E-25
984.6	1.63E-25
984.8	1.60E-25
985	1.57E-25
985.2	1.54E-25
985.4	1.51E-25
985.6	1.48E-25
985.8	1.45E-25
986	1.41E-25
986.2	1.38E-25
986.4	1.35E-25
986.6	1.32E-25
986.8	1.29E-25
987	1.26E-25
