1.4254E+03	3.00E-26	2.65E-27
1.4256E+03	3.03E-26	2.69E-27
1.4258E+03	3.06E-26	2.73E-27
1.4260E+03	3.08E-26	2.76E-27
1.4262E+03	3.10E-26	2.80E-27
1.4264E+03	3.13E-26	2.84E-27
1.4266E+03	3.16E-26	2.87E-27
1.4268E+03	3.18E-26	2.91E-27
1.4270E+03	3.21E-26	2.95E-27
1.4272E+03	3.24E-26	2.99E-27
1.4274E+03	3.26E-26	3.03E-27
1.4276E+03	3.29E-26	3.07E-27
1.4278E+03	3.32E-26	3.11E-27
1.4280E+03	3.35E-26	3.16E-27
1.4282E+03	3.38E-26	3.20E-27
1.4284E+03	3.41E-26	3.24E-27
1.4286E+03	3.44E-26	3.29E-27
1.4288E+03	3.47E-26	3.33E-27
1.4290E+03	3.50E-26	3.38E-27
1.4292E+03	3.53E-26	3.42E-27
1.4294E+03	3.56E-26	3.47E-27
1.4296E+03	3.60E-26	3.52E-27
1.4298E+03	3.63E-26	3.57E-27
1.4300E+03	3.67E-26	3.62E-27
1.4302E+03	3.70E-26	3.67E-27
1.4304E+03	3.73E-26	3.72E-27
1.4306E+03	3.77E-26	3.77E-27
1.4308E+03	3.80E-26	3.83E-27
1.4310E+03	3.84E-26	3.88E-27
1.4312E+03	3.87E-26	3.93E-27
1.4314E+03	3.91E-26	3.99E-27
1.4316E+03	3.95E-26	4.05E-27
1.4318E+03	3.98E-26	4.10E-27
1.4320E+03	4.02E-26	4.16E-27
1.4322E+03	4.06E-26	4.22E-27
1.4324E+03	4.09E-26	4.28E-27
1.4326E+03	4.13E-26	4.34E-27
1.4328E+03	4.17E-26	4.41E-27
1.4330E+03	4.21E-26	4.47E-27
1.4332E+03	4.25E-26	4.53E-27
1.4334E+03	4.29E-26	4.60E-27
1.4336E+03	4.33E-26	4.66E-27
1.4338E+03	4.38E-26	4.74E-27
1.4340E+03	4.42E-26	4.81E-27
1.4342E+03	4.47E-26	4.88E-27
1.4344E+03	4.51E-26	4.95E-27
1.4346E+03	4.56E-26	5.02E-27
1.4348E+03	4.60E-26	5.10E-27
1.4350E+03	4.66E-26	5.18E-27
1.4352E+03	4.70E-26	5.26E-27
1.4354E+03	4.75E-26	5.33E-27
1.4356E+03	4.79E-26	5.41E-27
1.4358E+03	4.84E-26	5.49E-27
1.4360E+03	4.89E-26	5.57E-27
1.4362E+03	4.94E-26	5.66E-27
1.4364E+03	4.99E-26	5.75E-27
1.4366E+03	5.05E-26	5.84E-27
1.4368E+03	5.10E-26	5.92E-27
1.4370E+03	5.16E-26	6.02E-27
1.4372E+03	5.21E-26	6.11E-27
1.4374E+03	5.27E-26	6.21E-27
1.4376E+03	5.33E-26	6.31E-27
1.4378E+03	5.38E-26	6.40E-27
1.4380E+03	5.44E-26	6.50E-27
1.4382E+03	5.50E-26	6.60E-27
1.4384E+03	5.55E-26	6.70E-27
1.4386E+03	5.61E-26	6.81E-27
1.4388E+03	5.68E-26	6.91E-27
1.4390E+03	5.73E-26	7.02E-27
1.4392E+03	5.79E-26	7.12E-27
1.4394E+03	5.85E-26	7.23E-27
1.4396E+03	5.91E-26	7.34E-27
1.4398E+03	5.97E-26	7.45E-27
1.4400E+03	6.03E-26	7.56E-27
1.4402E+03	6.10E-26	7.68E-27
1.4404E+03	6.16E-26	7.79E-27
1.4406E+03	6.22E-26	7.91E-27
1.4408E+03	6.29E-26	8.03E-27
1.4410E+03	6.36E-26	8.16E-27
1.4412E+03	6.43E-26	8.29E-27
1.4414E+03	6.51E-26	8.43E-27
1.4416E+03	6.58E-26	8.56E-27
1.4418E+03	6.65E-26	8.70E-27
1.4420E+03	6.73E-26	8.84E-27
1.4422E+03	6.81E-26	8.99E-27
1.4424E+03	6.88E-26	9.13E-27
1.4426E+03	6.95E-26	9.27E-27
1.4428E+03	7.03E-26	9.41E-27
1.4430E+03	7.10E-26	9.55E-27
1.4432E+03	7.18E-26	9.71E-27
1.4434E+03	7.25E-26	9.85E-27
1.4436E+03	7.33E-26	1.00E-26
1.4438E+03	7.41E-26	1.02E-26
1.4440E+03	7.48E-26	1.03E-26
1.4442E+03	7.56E-26	1.05E-26
1.4444E+03	7.64E-26	1.06E-26
1.4446E+03	7.73E-26	1.08E-26
1.4448E+03	7.81E-26	1.10E-26
1.4450E+03	7.88E-26	1.11E-26
1.4452E+03	7.98E-26	1.13E-26
1.4454E+03	8.07E-26	1.15E-26
1.4456E+03	8.16E-26	1.17E-26
1.4458E+03	8.25E-26	1.19E-26
1.4460E+03	8.34E-26	1.20E-26
1.4462E+03	8.43E-26	1.22E-26
1.4464E+03	8.52E-26	1.24E-26
1.4466E+03	8.61E-26	1.26E-26
1.4468E+03	8.71E-26	1.28E-26
1.4470E+03	8.82E-26	1.30E-26
1.4472E+03	8.91E-26	1.32E-26
1.4474E+03	9.00E-26	1.34E-26
1.4476E+03	9.09E-26	1.36E-26
1.4478E+03	9.19E-26	1.38E-26
1.4480E+03	9.29E-26	1.41E-26
1.4482E+03	9.37E-26	1.43E-26
1.4484E+03	9.46E-26	1.45E-26
1.4486E+03	9.54E-26	1.47E-26
1.4488E+03	9.64E-26	1.49E-26
1.4490E+03	9.73E-26	1.51E-26
1.4492E+03	9.82E-26	1.53E-26
1.4494E+03	9.92E-26	1.55E-26
1.4496E+03	1.00E-25	1.57E-26
1.4498E+03	1.01E-25	1.60E-26
1.4500E+03	1.03E-25	1.63E-26
1.4502E+03	1.04E-25	1.66E-26
1.4504E+03	1.05E-25	1.68E-26
1.4506E+03	1.06E-25	1.71E-26
1.4508E+03	1.07E-25	1.73E-26
1.4510E+03	1.08E-25	1.75E-26
1.4512E+03	1.09E-25	1.77E-26
1.4514E+03	1.10E-25	1.80E-26
1.4516E+03	1.11E-25	1.83E-26
1.4518E+03	1.13E-25	1.87E-26
1.4520E+03	1.14E-25	1.89E-26
1.4522E+03	1.15E-25	1.92E-26
